variable,unit,mean,sample size,standard dev.,standard error,95% CI,trend,trend p-value
TSA,K,281.757,20, 0.315, 0.016, 0.031, 282.044 + -0.027 t, 0.025
PREC,mm d$^{-1}$,2.369,20, 0.051, 0.003, 0.005, 2.394 + -0.002 t, 0.259
ELAI,m${-2}$ m${-2}$,0.998,20, 0.0614, 0.00307, 0.00602, 1.06 + -0.00578 t, 0.0133
FSDS,W m$^{-2}$,199.586,20, 0.504, 0.025, 0.049, 199.576 +  0.001 t, 0.962
FLDS,W m$^{-2}$,302.166,20, 1.823, 0.091, 0.179, 303.832 + -0.159 t, 0.024
ASA,% reflected,28.807,20, 0.122, 0.006, 0.012, 28.837 + -0.003 t, 0.569
RNET,W m$^{-2}$,73.493,20, 0.483, 0.024, 0.047, 73.937 + -0.042 t, 0.023
FSH,W m$^{-2}$,34.062,20, 0.573, 0.029, 0.056, 33.553 +  0.048 t, 0.029
ET,W m$^{-2}$,38.477,20, 0.599, 0.030, 0.059, 39.244 + -0.073 t, 0.001
FCTR,W m$^{-2}$,17.713,20, 0.660, 0.033, 0.065, 18.481 + -0.073 t, 0.002
FGEV,W m$^{-2}$,12.287,20, 0.346, 0.017, 0.034, 11.994 +  0.028 t, 0.039
FCEV,W m$^{-2}$,8.477,20, 0.206, 0.010, 0.020, 8.770 + -0.028 t, 0.000
QRUNOFF_TO_COUPLER,mm d$^{-1}$,0.978,20, 0.0327, 0.00164, 0.00321, 0.972 +  0.000542 t, 0.689
SNOWDP,m,2.287,20, 0.016, 0.001, 0.002, 2.314 + -0.003 t, 0.000
GPP,PgC y$^{-1}$,83.393,20, 2.777, 0.139, 0.272, 85.628 + -0.213 t, 0.051
NPP,PgC y$^{-1}$,33.581,20, 0.799, 0.040, 0.078, 33.399 +  0.017 t, 0.599
NEE,PgC y$^{-1}$,5.462,20, 1.591, 0.080, 0.156, 7.896 + -0.232 t, 0.000
NBP,PgC y$^{-1}$,-6.007,20, 1.597, 0.080, 0.157,-8.448 +  0.232 t, 0.000
BTRANMN,unitless,0.572,20, 0.00666, 0.000333, 0.000652, 0.562 +  0.000915 t, 3.09e-05
TOTVEGC,PgC,453.328,20, 24.897, 1.245, 2.440, 498.018 + -4.256 t, 0.000
TOTECOSYSC,gC/m^2,19544.517,20, 228.890, 11.444, 22.431, 19958.852 + -39.460 t, 0.000
TOTSOMC_1m,PgC,1588.382,20, 5.265, 0.263, 0.516, 1597.953 + -0.912 t, 0.000
ALTMAX,m,32.036,20, 0.175, 0.009, 0.017, 31.724 +  0.030 t, 0.000
FAREA_BURNED,s-1,2.94e-09,20, 2.77e-10, 1.38e-11, 2.71e-11, 3.3e-09 + -3.44e-11 t, 0.000372
DSTFLXT,Pg y$^{-1}$,8.122,20, 0.412, 0.021, 0.040, 8.034 +  0.008 t, 0.620
MEG_isoprene,Tg y$^{-1}$,452.566,20, 75.223, 3.761, 7.372, 540.107 + -8.337 t, 0.002
