variable,unit,test,control,diff
TSA,K,281.757,280.981,0.776
PREC,mm d$^{-1}$,2.369,2.378,-0.009
ELAI,m${-2}$ m${-2}$,0.998,1.017,-0.019
FSDS,W m$^{-2}$,199.586,198.251,1.335
FLDS,W m$^{-2}$,302.166,298.032,4.134
ASA,% reflected,28.807,29.057,-0.25
RNET,W m$^{-2}$,73.493,72.084,1.409
FSH,W m$^{-2}$,34.062,33.098,0.964
ET,W m$^{-2}$,38.477,38.152,0.325
FCTR,W m$^{-2}$,17.713,17.843,-0.13
FGEV,W m$^{-2}$,12.287,12.28,0.007
FCEV,W m$^{-2}$,8.477,8.029,0.448
QRUNOFF_TO_COUPLER,mm d$^{-1}$,0.978,1.002,-0.024
SNOWDP,m,2.287,2.278,0.009
GPP,PgC y$^{-1}$,83.393,85.158,-1.765
NPP,PgC y$^{-1}$,33.581,34.363,-0.782
NEE,PgC y$^{-1}$,5.462,1.969,3.493
NBP,PgC y$^{-1}$,-6.007,-2.492,-3.515
BTRANMN,unitless,0.572,0.574,-0.002
TOTVEGC,PgC,453.328,417.255,36.073
TOTECOSYSC,gC/m^2,19544.517,19087.331,457.186
TOTSOMC_1m,PgC,1588.382,1569.293,19.089
ALTMAX,m,32.036,32.239,-0.203
FAREA_BURNED,s-1,2.94e-09,2.78e-09,1.6e-10
DSTFLXT,Pg y$^{-1}$,8.122,7.981,0.141
MEG_isoprene,Tg y$^{-1}$,452.566,421.513,31.053
