variable,unit,mean,sample size,standard dev.,standard error,95% CI,trend,trend p-value
TSA,K,281.748,21, 0.310, 0.015, 0.029, 282.035 + -0.026 t, 0.019
PREC,mm d$^{-1}$,2.371,21, 0.050, 0.002, 0.005, 2.389 + -0.002 t, 0.386
ELAI,m${-2}$ m${-2}$,0.997,21, 0.0599, 0.00285, 0.00559, 1.05 + -0.0051 t, 0.0169
FSDS,W m$^{-2}$,199.586,21, 0.492, 0.023, 0.046, 199.578 +  0.001 t, 0.969
FLDS,W m$^{-2}$,302.128,21, 1.787, 0.085, 0.167, 303.749 + -0.147 t, 0.021
ASA,% reflected,28.806,21, 0.119, 0.006, 0.011, 28.836 + -0.003 t, 0.551
RNET,W m$^{-2}$,73.496,21, 0.471, 0.022, 0.044, 73.888 + -0.036 t, 0.037
FSH,W m$^{-2}$,34.062,21, 0.559, 0.027, 0.052, 33.601 +  0.042 t, 0.039
ET,W m$^{-2}$,38.488,21, 0.587, 0.028, 0.055, 39.149 + -0.060 t, 0.003
FCTR,W m$^{-2}$,17.710,21, 0.645, 0.031, 0.060, 18.413 + -0.064 t, 0.004
FGEV,W m$^{-2}$,12.305,21, 0.348, 0.017, 0.032, 11.984 +  0.029 t, 0.019
FCEV,W m$^{-2}$,8.472,21, 0.202, 0.010, 0.019, 8.751 + -0.025 t, 0.000
QRUNOFF_TO_COUPLER,mm d$^{-1}$,0.979,21, 0.0326, 0.00155, 0.00304, 0.969 +  0.000862 t, 0.488
SNOWDP,m,2.286,21, 0.016, 0.001, 0.002, 2.313 + -0.002 t, 0.000
GPP,PgC y$^{-1}$,83.415,21, 2.712, 0.129, 0.253, 85.370 + -0.178 t, 0.075
NPP,PgC y$^{-1}$,33.615,21, 0.794, 0.038, 0.074, 33.350 +  0.024 t, 0.425
NEE,PgC y$^{-1}$,5.359,21, 1.620, 0.077, 0.151, 7.870 + -0.228 t, 0.000
NBP,PgC y$^{-1}$,-5.903,21, 1.626, 0.077, 0.152,-8.421 +  0.229 t, 0.000
BTRANMN,unitless,0.572,21, 0.00659, 0.000314, 0.000615, 0.563 +  0.000858 t, 2.19e-05
TOTVEGC,PgC,451.595,21, 25.503, 1.214, 2.380, 497.229 + -4.149 t, 0.000
TOTECOSYSC,gC/m^2,19527.114,21, 236.544, 11.264, 22.077, 19954.197 + -38.826 t, 0.000
TOTSOMC_1m,PgC,1587.927,21, 5.526, 0.263, 0.516, 1597.951 + -0.911 t, 0.000
ALTMAX,m,32.049,21, 0.181, 0.009, 0.017, 31.727 +  0.029 t, 0.000
FAREA_BURNED,s-1,2.93e-09,21, 2.73e-10, 1.3e-11, 2.55e-11, 3.29e-09 + -3.23e-11 t, 0.000259
DSTFLXT,Pg y$^{-1}$,8.116,21, 0.403, 0.019, 0.038, 8.054 +  0.006 t, 0.717
MEG_isoprene,Tg y$^{-1}$,450.414,21, 74.038, 3.526, 6.910, 536.073 + -7.787 t, 0.002
