variable,unit,test,control,diff
TSA,K,281.748,280.981,0.767
PREC,mm d$^{-1}$,2.371,2.378,-0.007
ELAI,m${-2}$ m${-2}$,0.997,1.017,-0.02
FSDS,W m$^{-2}$,199.586,198.251,1.335
FLDS,W m$^{-2}$,302.128,298.032,4.096
ASA,% reflected,28.806,29.057,-0.251
RNET,W m$^{-2}$,73.496,72.084,1.412
FSH,W m$^{-2}$,34.062,33.098,0.964
ET,W m$^{-2}$,38.488,38.152,0.336
FCTR,W m$^{-2}$,17.71,17.843,-0.133
FGEV,W m$^{-2}$,12.305,12.28,0.025
FCEV,W m$^{-2}$,8.472,8.029,0.443
QRUNOFF_TO_COUPLER,mm d$^{-1}$,0.979,1.002,-0.023
SNOWDP,m,2.286,2.278,0.008
GPP,PgC y$^{-1}$,83.415,85.158,-1.743
NPP,PgC y$^{-1}$,33.615,34.363,-0.748
NEE,PgC y$^{-1}$,5.359,1.969,3.390
NBP,PgC y$^{-1}$,-5.903,-2.492,-3.411
BTRANMN,unitless,0.572,0.574,-0.002
TOTVEGC,PgC,451.595,417.255,34.340
TOTECOSYSC,gC/m^2,19527.114,19087.331,439.783
TOTSOMC_1m,PgC,1587.927,1569.293,18.634
ALTMAX,m,32.049,32.239,-0.19
FAREA_BURNED,s-1,2.93e-09,2.78e-09,1.5e-10
DSTFLXT,Pg y$^{-1}$,8.116,7.981,0.135
MEG_isoprene,Tg y$^{-1}$,450.414,421.513,28.901
